Date,FibonacciLevels,PBDT,RSI,macd,Volume,EPS (Rs),CI
2017-12-14,321.71093432240974,106.63,78.8206196121067,224.68879073033887,562831,1.61,30.379438504077587
2017-12-15,322.2313187801088,106.63,80.08054573486412,230.0558235090593,1375982,1.61,30.854403087255072
2017-12-18,307.47265027153315,106.63,83.01263107219917,242.5399307957032,523286,1.61,27.15761727999213
2017-12-19,328.7592559673833,106.63,89.00552087683755,287.0403900176225,1493359,1.61,11.695776331255727
2017-12-20,326.9143598648518,106.63,84.593390166168,313.48846215354024,942790,1.61,10.109239387270442
2017-12-21,329.6106259513108,106.63,78.23847425098072,322.8079410210994,527045,1.61,12.159855361880432
2017-12-22,330.27294770869025,106.63,79.35800476149214,331.67955761510166,1465697,1.61,14.030307424785873
2017-12-26,333.11111622743704,106.63,78.04111912507616,333.25179476364974,711575,1.61,15.91053088756416
2017-12-27,332.35424523610953,106.63,75.79019010851484,328.0290790565159,705119,1.61,21.800834992444088
2017-12-28,324.88025094504934,106.63,74.79835096465777,319.0648032960089,2812009,1.61,31.58967935158942
2017-12-29,326.39400705298993,106.63,76.98314452416648,316.0443998492192,851154,1.61,35.65878239798116
2018-01-01,328.94843518899967,111.21,71.79645191271243,304.1654171647042,272884,1.77,36.38316999922552
2018-01-02,327.7658280480408,111.21,65.78167273684063,283.9433755852169,595436,1.77,37.1513256969173
2018-01-03,330.4147897832327,111.21,58.38291071505613,254.40092161669963,1819175,1.77,37.97290562039671
2018-01-04,334.5775364860473,111.21,56.86209251439168,226.04561642707267,1107800,1.77,38.77298911886086
2018-01-05,333.1110808007313,111.21,58.68008519472539,204.8774562978524,1200209,1.77,39.53554771448785
2018-01-08,338.6929048300031,111.21,59.26648752935758,187.1073019581745,1129672,1.77,55.245708207297696
2018-01-09,335.5236146523751,111.21,55.586638352908246,166.07402935847858,758032,1.77,56.79875052807255
2018-01-10,336.89542199643176,111.21,55.1525146857564,147.11632818012913,894740,1.77,64.38520659233073
