,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
388,2018-01-25,339.733597246855,344.84236728412105,333.01649734982334,334.672119140625,991272,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
389,2018-01-29,335.2397910568528,341.53114854517605,335.2397910568528,340.30126953125,1118359,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
390,2018-01-30,340.1121077170069,342.47728231865506,337.36851095344707,339.2606506347656,774775,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
391,2018-01-31,339.97012436294534,341.34190799148206,327.9550286175689,336.42236328125,4361853,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
392,2018-02-01,338.0779722102518,339.4970765887431,329.7052506028029,330.8405456542969,2438075,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
393,2018-02-02,329.23222330095194,334.7667362773444,321.8528919135974,325.8736877441406,1350425,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
394,2018-02-05,329.4214649647581,330.178309139011,318.92008603441,320.8122253417969,1270434,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
395,2018-02-06,312.77063529733937,323.22469348919714,308.4187090880043,320.9541320800781,1948962,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
396,2018-02-07,323.6977141337258,328.286157556927,318.8727533059448,320.1026611328125,835895,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
397,2018-02-08,321.1906046570023,324.0288132401275,319.01465629197327,321.94744873046875,1463375,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
398,2018-02-09,319.2984897494807,324.9276154137653,317.87938535059413,322.1839904785156,744243,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
399,2018-02-12,326.2520834305436,327.8130923818211,322.5150972356435,326.157470703125,919718,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
400,2018-02-14,325.9209911321247,328.85381279184446,321.23793486323723,322.37322998046875,825559,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
401,2018-02-15,324.0761666333323,326.06291879268514,320.7176307216751,321.2852783203125,366437,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
402,2018-02-16,324.8803509487577,326.15755090358743,322.9882114221234,324.2654113769531,871481,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
403,2018-02-19,324.4072722294948,325.4479546028664,320.33918434566056,321.0487365722656,515046,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
404,2018-02-20,320.9541760263159,326.3940773148975,320.9541760263159,322.32598876953125,890534,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
405,2018-02-21,323.2719784572453,324.59647005975177,315.3249710987034,316.46026611328125,1312888,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
406,2018-02-22,317.64284628703894,317.6901382150753,308.7024776350995,309.4593505859375,2278159,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
407,2018-02-23,312.0137264013102,316.3656521106819,307.09418205868474,312.7705993652344,2071180,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
408,2018-02-26,316.93327684553384,319.2038378306744,313.29090356116814,313.8585510253906,778390,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
409,2018-02-27,314.14244520558304,316.1765182413165,308.749865017722,310.4054870605469,698699,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
410,2018-02-28,310.358136926621,310.358136926621,306.1954362437507,307.5199279785156,2526442,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
411,2018-03-01,308.7971008740708,309.8850751016986,306.2900222960366,307.6618347167969,818541,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
412,2018-03-05,308.4187565730168,309.55405188824693,304.72909010615774,307.4726867675781,5281481,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
413,2018-03-06,308.74984039121307,311.8245667969272,303.688361918225,305.29669189453125,678537,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
414,2018-03-07,303.87755709363915,309.1755235823261,303.78294436239435,305.9588928222656,2118798,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
415,2018-03-08,307.7564453908577,311.1623019029351,301.7016054092505,307.5199279785156,10405395,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
416,2018-03-09,310.8784876225233,316.8387147702413,307.5199230975202,309.6012878417969,1796651,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
417,2018-03-12,312.2502895580686,315.608854279786,309.5066932321027,310.0743408203125,1508106,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
