Date,Close,Volume,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2017-03-29,259.0001220703125,1108681,1449.31,60.58,1509.89,1139.43,1227.32,5.22,99.77,26.15,339.09,73.62,265.47,1.51,45.13249407605676,0.0551638084666417,5677.2080824070335,12.00430923590102,-5665.2037731711325,5679.999982205938,48.21825629950376,5717.666259765625,5883.34262428614,5551.98989524511,256.040933263355,257.5440368652344,256.22881377063584
2017-03-30,257.5440368652344,2802111,1449.31,60.58,1509.89,1139.43,1227.32,5.22,99.77,26.15,339.09,73.62,265.47,1.51,46.30810130484515,0.1000991413408749,5667.347422956877,6.736062079529802,-5660.611360877348,5675.264055201421,55.39007241430031,5717.13982282366,5883.98663821169,5550.293007435631,256.22881377063584,260.5502014160156,255.8060457681062
2017-03-31,260.5502014160156,1190847,1449.31,60.58,1509.89,1139.43,1227.32,5.22,99.77,26.15,339.09,73.62,265.47,1.51,51.60894042218273,0.3027135557621005,5670.626668834252,6.986136338588949,-5663.640532495663,5676.034927668905,55.16993902421543,5721.195731026785,5881.220548075448,5561.170913978122,255.8060457681062,263.3215026855469,260.4092703466232
2017-04-03,263.3215026855469,1301171,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,56.0594973253302,0.472827562397428,5683.888932723652,11.345872185132976,-5672.543060538519,5681.571569542754,54.75628127300537,5717.119559151785,5871.979214159134,5562.259904144436,260.4092703466232,266.70343017578125,263.36847441029386
2017-04-05,266.70343017578125,1729357,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,70.2236964925314,1.0142269251174796,5745.594251647672,35.01229658060129,-5710.58195506707,5709.830111161026,40.804233573145154,5730.957763671875,5941.739918836848,5520.175608506902,263.36847441029386,267.5489196777344,265.15336096274393
2017-04-06,267.5489196777344,960662,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,65.92829746742464,0.8500435309580591,5785.368858349388,49.33043544436532,-5736.038422905022,5731.16076334241,40.89201069625406,5740.149553571428,5976.53444849427,5503.764658648587,265.15336096274393,265.2942810058594,264.401872629279
2017-04-07,265.2942810058594,904847,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,63.27538083672894,0.748640877955695,5811.08493042951,57.55169067622501,-5753.533239753285,5747.777895652191,41.0295397472371,5744.654366629465,5992.266649640641,5497.042083618288,264.401872629279,269.5216979980469,266.23370230943937
2017-04-10,269.5216979980469,2212827,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,63.73754831715875,0.7663063439958814,5833.452905281108,64.05298649476208,-5769.399918786346,5763.700341928128,41.24280567014468,5752.074567522322,6015.039606251339,5489.109528793304,266.23370230943937,271.91729736328125,268.4413439415783
2017-04-11,271.91729736328125,1108245,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,61.87925271100539,0.6952765564984993,5847.369550787386,66.83008504638201,-5780.539465741004,5776.367232008525,41.16434259479064,5763.648577008928,6038.508445132197,5488.78870888566,268.4413439415783,271.44757080078125,267.8307091937912
2017-04-12,271.44757080078125,1334651,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,54.31991000150051,0.4063351714475646,5840.872691411159,61.21229915502863,-5779.660392256131,5779.868870362863,41.19855299740095,5773.683942522322,6044.738314662519,5502.629570382124,267.8307091937912,270.3202209472656,269.61571130827133
2017-04-13,270.3202209472656,1048663,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,49.02770139606039,0.2040506418003436,5821.209871878928,50.34367579002173,-5770.866196088906,5776.477027034421,41.40263574976105,5776.59601702009,6045.187956537773,5508.004077502406,269.61571130827133,275.1582946777344,268.11255905874026
2017-04-17,275.1582946777344,1051332,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,51.52582254227325,0.2995365341259015,5812.584694378142,44.08858977567161,-5768.49610460247,5776.623114065382,41.73284659725674,5784.080322265625,6046.030994906901,5522.129649624349,268.11255905874026,272.1051330566406,269.8505130935848
2017-04-18,272.1051330566406,1324260,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,52.9523106819511,0.3540613089213338,5809.766193002513,40.313452096045694,-5769.452740906468,5778.611211650347,42.26136252198839,5794.294503348215,6045.58138240894,5543.007624287489,269.8505130935848,272.7157897949219,270.78991429742814
2017-04-19,272.7157897949219,628336,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,56.74726988511505,0.4991163501480338,5818.811587214512,41.403510994817225,-5777.408076219695,5785.555025505998,42.80022287086251,5809.323939732143,6046.829823676503,5571.818055787783,270.78991429742814,273.0915832519531,272.43391165208743
2017-04-20,273.0915832519531,514989,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,61.07547242430577,0.6645535957543585,5840.51284399036,47.555203160222845,-5792.957640830137,5798.442556923066,43.95964430129885,5831.550746372768,6048.534611245602,5614.566881499934,272.43391165208743,273.60821533203125,271.1657589816868
2017-04-21,273.60821533203125,597313,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,54.36355409162136,0.408003383133873,5841.301779098539,45.22302278727602,-5796.078756311263,5802.625735341992,45.24689709713136,5847.018798828125,6029.616928794238,5664.420668862012,271.1657589816868,275.5810852050781,273.56135194402185
2017-04-24,275.5810852050781,540748,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,61.2880711643481,0.672679775075568,5866.979997497581,52.87073831445741,-5814.109259183124,5817.813656773969,54.23117670391582,5867.443743024553,6034.69427659059,5700.193209458517,273.56135194402185,276.0976867675781,278.0235299970017
2017-04-25,276.0976867675781,910464,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,62.16725664757227,0.7062849549174679,5891.084681591816,59.68080705866578,-5831.40387453315,5833.239998700768,55.24792379059086,5885.341273716518,6045.926242107146,5724.75630532589,278.0235299970017,276.2386474609375,277.97653266665657
