,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt-Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Capital_Employed,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
388,2020-12-01,2645.3681427110623,2701.5537302375747,2591.502908909922,2692.568115234375,3605017,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
389,2020-12-02,2684.8659441526165,2720.117721684532,2668.523662993111,2715.032470703125,2509032,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
390,2020-12-03,2739.0766440307784,2739.0766440307784,2666.894478669461,2675.435791015625,2852548,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
391,2020-12-04,2676.769114612568,2704.467027779922,2665.1172016403443,2693.308837890625,2686527,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
392,2020-12-07,2680.9163192542924,2709.552257839329,2672.1773243247767,2703.331298828125,1996400,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
393,2020-12-08,2705.602633189212,2770.329780895437,2698.1473660395477,2762.183349609375,4277818,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
394,2020-12-09,2779.660897467801,2804.347051086521,2758.085102774753,2775.513671875,3659996,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
395,2020-12-10,2782.6233234568167,2791.806621107075,2745.3472303196645,2749.346435546875,2127801,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
396,2020-12-11,2757.640644059803,2772.4523353922496,2729.8441330895266,2748.655029296875,1795408,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
397,2020-12-14,2766.82419178212,2768.7990841388523,2721.648529121866,2762.578125,2483658,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
398,2020-12-15,2751.0250912604365,2759.6158249167784,2720.4142593045594,2726.882080078125,2365509,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
399,2020-12-16,2744.112794063796,2784.40064436523,2725.795620145205,2778.870849609375,2565149,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
400,2020-12-17,2775.711093345212,2817.874995213967,2769.7864165184337,2802.569580078125,2863460,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
401,2020-12-18,2831.995864030824,2861.6192517298914,2810.4694874210195,2825.083740234375,6076692,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
402,2020-12-21,2825.083364397566,2850.263240591952,2750.037458877044,2784.74609375,2705195,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
403,2020-12-22,2798.4222894228674,2847.4488925937985,2783.264895129972,2836.43896484375,2881737,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
