Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,Unnamed: 0,Open_fib,High_fib,Low_fib,Close_fib,Volume_fib,Dividends_fib,Stock Splits_fib,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2016-01-15,1018.9184839380234,1020.187142128684,1003.8495677952066,1006.5651245117188,3269408,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,32.24259321252836,0.1958799246572511,1034.8992294156146,-13.845029522181903,-1048.7442589377963,1051.1866247195312,35.80760671132113,1052.6542227608818,1106.5167198878903,998.7917256338732,457,1018.9186075064788,1020.187265850995,1003.8496895361924,1006.5652465820312,3269408,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1003.8496895361924,98.96060561157869,1020.187265850995,1013.9323120117188,1020.2762961113428
2016-01-18,1006.9655074778756,1020.2759276092252,1006.0751754641904,1013.9323120117188,2213922,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,35.683649424943994,0.3251584758879292,1030.7058459348357,-14.975757414268855,-1045.6816033491043,1047.799869018821,37.22654866107604,1046.9894496372767,1099.1188566230571,994.8600426514964,458,1006.9658711725504,1020.2762961113428,1006.075538837296,1013.9326782226562,2213922,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1006.075538837296,98.96060561157869,1020.2762961113428,1014.667236328125,1023.8825235140528
2016-01-19,1013.643332437519,1023.882153977292,1009.77040863519,1014.667236328125,967910,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,36.03264423362326,0.3382700150398602,1027.4981240134937,-15.632364992068004,-1043.1304890055617,1044.787811501485,39.42808539166248,1042.5695975167412,1094.3961953512098,990.7429996822724,459,1013.643698278912,1023.8825235140528,1009.770773078778,1014.6676025390624,967910,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1009.770773078778,98.96060561157869,1023.8825235140528,1015.0233764648438,1017.2045859481824
2016-01-20,1012.2188079987532,1017.2046471145022,998.5076689180868,1015.0233764648438,1615954,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,36.213274643578686,0.3450561981957721,1025.0031745037636,-15.940244479527792,-1040.9434189832914,1042.0819537708812,40.15126255975885,1037.5853315080917,1085.1630011111113,990.0076619050716,460,1012.2187471322404,1017.2045859481824,998.5076088760494,1015.0233154296876,1615954,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,998.5076088760494,98.96060561157869,1017.2045859481824,1006.0541381835938,1021.8510237368544
2016-01-21,1019.6645401417218,1021.8510857303778,1002.149514671016,1006.0541381835938,2675536,2.75,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,33.63712733871898,0.2482717893484425,1021.2133672397296,-16.71530018610406,-1037.9286674258335,1038.8066978084005,45.65550580671031,1032.6106741768974,1077.510185993711,987.7111623600838,461,1019.6644782808514,1021.8510237368544,1002.1494538727447,1006.0540771484376,2675536,2.75,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1002.1494538727447,98.96060561157869,1021.8510237368544,1024.4617919921875,1027.2730206974604
2016-01-22,1014.3097694427714,1027.2731431027612,1008.5086137002478,1024.4617919921875,1343178,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,42.65359897868095,0.5870155699995869,1021.8630521902212,-15.663632983606703,-1037.526685173828,1037.502615461472,47.50525414128663,1030.43896484375,1073.609391411255,987.268538276245,462,1014.3096485821286,1027.2730206974604,1008.5084935308448,1024.461669921875,1343178,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1008.5084935308448,98.96060561157869,1027.2730206974604,1028.432861328125,1043.7617083477844
2016-01-25,1027.2056943012478,1043.7613366785856,1022.5648153052498,1028.432861328125,1397560,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,44.40834694419208,0.6529404665292511,1023.177014017802,-14.34439379834339,-1037.5214078161457,1036.6780923584406,47.74792236602797,1029.20751953125,1071.4802382297694,986.9348008327304,463,1027.2060600752077,1043.7617083477844,1022.5651794266558,1028.4332275390625,1397560,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1022.5651794266558,98.96060561157869,1043.7617083477844,1035.171142578125,1039.7231625638938
2016-01-27,1027.250337413447,1039.722794742725,1018.2808186908468,1035.171142578125,1626986,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,47.35219375673956,0.763539139575636,1025.5758397298666,-12.609806259480592,-1038.1856459893472,1036.5410969238665,48.04662792489583,1027.419180733817,1065.9996135602958,988.8387479073384,464,1027.2507008222533,1039.7231625638938,1018.2811789265196,1035.1715087890625,1626986,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1018.2811789265196,98.96060561157869,1039.7231625638938,1040.28076171875,1048.1794802049512
2016-01-28,1033.274774456347,1048.1792342106555,1029.9502887656406,1040.28076171875,3106660,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,49.53454134409839,0.84552871398525,1028.5168241276433,-10.699492486937288,-1039.2163166145806,1036.881066450674,48.55757498200837,1026.3249250139509,1062.2390993271597,990.4107507007424,465,1033.2750169527558,1048.1794802049512,1029.9505304818354,1040.281005859375,3106660,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1029.9505304818354,98.96060561157869,1048.1794802049512,1067.099853515625,1070.982387020005
2016-01-29,1052.552302508537,1070.9821419911557,1041.9987095627073,1067.099853515625,2235744,0.0,0.0,2016,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,59.114313102188056,1.2054353640242492,1036.2334300052396,-6.941461638761666,-1043.1748916440013,1039.628228911124,49.581501109399966,1026.3084629603795,1062.1417913465818,990.4751345741772,466,1052.5525433208434,1070.982387020005,1041.9989479604687,1067.10009765625,2235744,0.0,0.0,1097.468214487628,998.5076088760494,-1,1097.468214487628,998.5076088760494,1097.468214487628,1059.665263144005,1047.9879116818388,1036.3105602196724,1019.6851784769271,998.5076088760494,971.7882453609232,937.3499546080938,838.3893489965151,1041.9989479604687,98.96060561157869,1070.982387020005,1072.1871337890625,1052.686113156596
