,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
1274,2020-12-02,2684.8659441526165,2720.117721684532,2668.523662993111,2715.032470703125,2509032,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1275,2020-12-03,2739.0768939788004,2739.0768939788004,2666.894722030668,2675.43603515625,2852548,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1276,2020-12-04,2676.769114612568,2704.467027779922,2665.1172016403443,2693.308837890625,2686527,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1277,2020-12-07,2680.9163192542924,2709.552257839329,2672.1773243247767,2703.331298828125,1996400,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1278,2020-12-08,2705.602633189212,2770.329780895437,2698.1473660395477,2762.183349609375,4277818,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1279,2020-12-09,2779.660897467801,2804.347051086521,2758.085102774753,2775.513671875,3659996,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1280,2020-12-10,2782.6233234568167,2791.806621107075,2745.3472303196645,2749.346435546875,2127801,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1281,2020-12-11,2757.640644059803,2772.4523353922496,2729.8441330895266,2748.655029296875,1795408,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1282,2020-12-14,2766.823947266252,2768.798839448455,2721.648288598361,2762.577880859375,2483658,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1283,2020-12-15,2751.0248449582627,2759.615577845467,2720.4140157430056,2726.8818359375,2365509,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1284,2020-12-16,2744.112794063796,2784.40064436523,2725.795620145205,2778.870849609375,2565149,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
