Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,Unnamed: 0,Open_fib,High_fib,Low_fib,Close_fib,Volume_fib,Dividends_fib,Stock Splits_fib,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2019-04-08,1238.967647764927,1247.3002005987614,1220.6658922767,1227.1632080078125,479351,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,58.227442479186216,1.5089612503536538,1215.7674800344605,17.656126122742762,-1198.1113539117175,1191.3237761250418,43.44773745680902,1185.734401157924,1294.3026334811448,1077.1661688347035,1252,1238.967647764927,1247.3002005987614,1220.6658922767,1227.1632080078125,479351,0.0,0,1268.5282034751183,1216.2514718616992,1,1268.5282034751183,1083.228579395785,1083.228579395785,1154.0130357940902,1175.8783914354517,1197.743747076813,1228.874083922141,1268.5282034751183,1318.5591019765384,1383.0433711561463,1568.3429952354795,1247.3002005987614,185.2996240793334,1220.6658922767,1249.4329833984375,1216.2514718616992
2019-04-09,1232.0239015707534,1252.8552235779882,1216.2515906901708,1249.4329833984375,452314,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,61.84321573197656,1.775002083064823,1222.500580707256,19.78258427697688,-1202.717996430279,1196.6064313317142,44.79182988698072,1195.646998814174,1299.9441331823489,1091.3498644459994,1253,1232.023781201318,1252.855101173321,1216.2514718616992,1249.432861328125,452314,0.0,0,1268.5282034751183,1216.2514718616992,1,1268.5282034751183,1083.228579395785,1083.228579395785,1154.0130357940902,1175.8783914354517,1197.743747076813,1228.874083922141,1268.5282034751183,1318.5591019765384,1383.0433711561463,1568.3429952354795,1252.855101173321,185.2996240793334,1216.2514718616992,1236.23974609375,1230.337586714822
2019-04-10,1243.133873172653,1259.5509870431608,1230.337586714822,1236.23974609375,251194,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,58.60670078842706,1.5368662624628064,1225.248413784555,20.170718210809127,-1205.0776955737458,1200.209459946445,47.72595520716678,1203.182407924107,1302.4002267182598,1103.9645891299544,1254,1243.133873172653,1259.5509870431608,1230.337586714822,1236.23974609375,251194,0.0,0,1268.5282034751183,1216.2514718616992,1,1268.5282034751183,1083.228579395785,1083.228579395785,1154.0130357940902,1175.8783914354517,1197.743747076813,1228.874083922141,1268.5282034751183,1318.5591019765384,1383.0433711561463,1568.3429952354795,1259.5509870431608,185.2996240793334,1230.337586714822,1230.4368896484375,1225.0802392830012
2019-04-11,1230.0400783084383,1249.681089285098,1225.0802392830012,1230.4368896484375,325454,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,57.18903628009615,1.4325575517298066,1226.2861089573316,19.78204008685429,-1206.504068870477,1202.9574081011713,47.4592234764716,1208.4540143694196,1304.8196682971482,1112.088360441691,1255,1230.0400783084383,1249.681089285098,1225.0802392830012,1230.4368896484375,325454,0.0,0,1268.5282034751183,1216.2514718616992,1,1268.5282034751183,1083.228579395785,1083.228579395785,1154.0130357940902,1175.8783914354517,1197.743747076813,1228.874083922141,1268.5282034751183,1318.5591019765384,1383.0433711561463,1568.3429952354795,1249.681089285098,185.2996240793334,1225.0802392830012,1254.1446533203125,1221.7073598818677
2019-04-12,1237.6778947059488,1258.0132299903987,1221.7072409688026,1254.1446533203125,365799,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,61.307081638618016,1.7355544875797124,1231.857817829928,21.14330144975316,-1210.7145163801747,1207.610794030184,47.10350660372609,1216.5102015904015,1307.416300425253,1125.6041027555505,1256,1237.6780151734938,1258.0133524372536,1221.7073598818677,1254.144775390625,365799,0.0,0,1268.5282034751183,1216.2514718616992,1,1268.5282034751183,1083.228579395785,1083.228579395785,1154.0130357940902,1175.8783914354517,1197.743747076813,1228.874083922141,1268.5282034751183,1318.5591019765384,1383.0433711561463,1568.3429952354795,1258.0133524372536,185.2996240793334,1221.7073598818677,1261.187744140625,1254.9382992633682
2019-04-15,1260.394121553422,1275.025644967658,1254.9382992633682,1261.187744140625,525419,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,62.46229246521393,1.820552419910608,1237.723803092067,22.530709461055267,-1215.193093631012,1212.4814258584058,47.51996380646053,1225.321001325335,1306.802386543722,1143.839616106948,1257,1260.394121553422,1275.025644967658,1254.9382992633682,1261.187744140625,525419,0.0,0,1268.5282034751183,1216.2514718616992,1,1268.5282034751183,1083.228579395785,1083.228579395785,1154.0130357940902,1175.8783914354517,1197.743747076813,1228.874083922141,1268.5282034751183,1318.5591019765384,1383.0433711561463,1568.3429952354795,1275.025644967658,185.2996240793334,1254.9382992633682,1264.9571533203125,1284.4989895207752
2019-04-16,1261.0389293699918,1284.4989895207752,1260.8405842673703,1264.9571533203125,375036,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,63.09730532730337,1.8672753029017368,1243.1704731377165,23.66164342770776,-1219.5088297100087,1217.2519465367611,47.68833841692981,1234.0573992047991,1302.5466747797636,1165.5681236298346,1258,1261.0389293699918,1284.4989895207752,1260.8405842673703,1264.9571533203125,375036,0.0,0,1284.4989895207752,1209.208702922851,-1,1284.4989895207752,1209.208702922851,1284.4989895207752,1255.7381000403682,1246.853846221813,1237.969592403258,1225.320824254807,1209.208702922851,1188.8803255414114,1162.6793058053338,1087.3890192074095,1260.8405842673703,75.29028659792425,1284.4989895207752,1261.3861083984375,1269.619488778931
2019-04-18,1263.7668551063955,1269.619488778931,1245.7130913265128,1261.3861083984375,283213,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,62.02677084490563,1.7885076741729922,1246.8136001898606,23.99318476476219,-1222.8204154250984,1221.2641430696408,48.485424265204486,1242.4076450892858,1288.790967208622,1196.0243229699497,1259,1263.7668551063955,1269.619488778931,1245.7130913265128,1261.3861083984375,283213,0.0,0,1284.4989895207752,1209.208702922851,-1,1284.4989895207752,1209.208702922851,1284.4989895207752,1255.7381000403682,1246.853846221813,1237.969592403258,1225.320824254807,1209.208702922851,1188.8803255414114,1162.6793058053338,1087.3890192074095,1245.7130913265128,75.29028659792425,1269.619488778931,1222.1539306640625,1258.807091065708
2019-04-22,1258.807091065708,1258.807091065708,1209.208702922851,1222.1539306640625,534002,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,51.65736477919377,1.0255490394429767,1241.8816662847012,20.849880354700645,-1221.0317859300003,1221.3450328509518,71.71124991107352,1245.8866315569196,1273.4962222152278,1218.2770408986114,1260,1258.807091065708,1258.807091065708,1209.208702922851,1222.1539306640625,534002,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1209.208702922851,181.2820769396076,1258.807091065708,1232.916748046875,1243.9275659195878
2019-04-23,1223.0962430453365,1243.9275659195878,1219.9219946623284,1232.916748046875,280002,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,53.93265166294311,1.192959763205132,1240.088682637136,19.008144322031512,-1221.0805383151046,1222.397006959672,70.69665109995468,1244.00190952846,1271.2666129508043,1216.7372061061153,1261,1223.0962430453365,1243.9275659195878,1219.9219946623284,1232.916748046875,280002,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1219.9219946623284,181.2820769396076,1243.9275659195878,1218.929931640625,1258.5093451365124
