Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2020-10-29,2076.633021007745,2098.7196443858484,2059.7434224186827,2084.578369140625,606805,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,51.761026810311726,1.0331762691255542,2111.8669676737154,43.11042185262386,-2068.7565458210915,2096.785881759061,48.016717326118346,2158.368966238839,2306.066161071292,2010.6717714063864
2020-10-30,2086.6769205080845,2143.442338140273,2076.683017544381,2118.15771484375,1071769,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,55.23638306758954,1.2888855207885683,2113.1251171077224,39.98423536852897,-2073.140881739193,2098.7287756758506,52.57941361064681,2147.361397879464,2280.772974282569,2013.9498214763587
2020-11-02,2136.7964293051486,2147.4398380611365,2063.74090312798,2068.038330078125,637352,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,49.50370960124196,0.867087715444615,2104.107759701803,33.08115560203987,-2071.026604099763,2095.9387351669666,52.33713320201316,2134.144461495536,2258.8184056378227,2009.470517353249
2020-11-03,2083.728712929676,2158.4831539233,2078.63172495602,2110.062744140625,1528660,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,53.830517354963945,1.185444940111016,2105.298756589568,30.648141458328155,-2074.650615131239,2097.2227359827534,51.82848889149252,2125.838814871652,2239.0173435079464,2012.660286235357
2020-11-04,2111.7117985976884,2146.690460666273,2086.727039977271,2102.317626953125,725363,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,52.93034869353888,1.1192124627062976,2104.702530662279,27.774823120425022,-2076.927707541854,2097.6859078891507,59.055686443418764,2120.1994105747767,2229.2737699194577,2011.125051230096
2020-11-05,2130.750097560915,2138.2455246689656,2103.2168465189893,2121.305908203125,466474,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.92063463248882,1.265653428860066,2108.023206170448,26.72186027026828,-2081.30134590018,2099.8331806449664,58.75412746808532,2113.9210902622767,2210.3078158313037,2017.53436469325
2020-11-06,2126.7026039561106,2167.1278936587064,2061.292556218316,2084.628173828125,1290149,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,50.48046681528386,0.9389554141117852,2103.344199701984,22.66650759968661,-2080.677692102297,2098.450907297981,60.406594735754645,2104.912283761161,2184.4098134795768,2025.4147540427448
2020-11-09,2098.5199081937776,2108.2139458018096,2027.912955484148,2083.129150390625,1534921,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,50.30147418241247,0.925785520490408,2099.301189839712,19.111348992681545,-2080.1898408470306,2097.058020306403,60.46488315653106,2095.785714285714,2147.269205478879,2044.3022230925496
2020-11-10,2088.725745399416,2088.725745399416,1984.7891532838469,2032.1602783203125,2804380,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,44.521064536103744,0.500475389516657,2085.8730075358326,12.042282238078316,-2073.8307252977543,2091.158225580394,64.87446428865597,2087.4979160853795,2139.988808874919,2035.0070232958403
2020-11-11,2061.742307349273,2207.40345194266,2048.750232702865,2194.01171875,3735087,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,60.17257774106003,1.6520801266287124,2107.500749778666,19.27783165563642,-2088.2229181230296,2100.508543141268,58.09937303091879,2094.1831490652903,2171.657237942287,2016.7090601882935
